Noms de la població
Catalunya. Nascuts entre 1950–1959. 2024
Font: Idescat, a partir del Cens de població anual de l'INE.
Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
Nota: Només es mostren els noms de freqüència igual o superior a 4.
.. Dada confidencial, amb baixa fiabilitat o no disponible
Institut d'Estadística de Catalunya
http://www.idescat.cat/noms/?t=1950-1959
Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
1;H;JOSÉ;20.431;25,32
2;H;ANTONIO;19.993;24,78
3;D;MARÍA DEL CARMEN;18.598;23,05
4;H;FRANCISCO;15.960;19,78
5;D;MONTSERRAT;14.845;18,40
6;H;MANUEL;14.565;18,05
7;H;JUAN;13.720;17,01
8;D;MARIA/MARÍA;11.313;14,02
9;D;CARMEN;11.099;13,76
10;D;MARIA TERESA/MARÍA TERESA;10.445;12,95
11;D;JOSEFA;10.131;12,56
12;D;ISABEL;8.953;11,10
13;D;MARIA DOLORES/MARÍA DOLORES;8.448;10,47
14;H;JOSEP;7.914;9,81
15;D;FRANCISCA;7.700;9,54
16;D;ANTÒNIA/ANTONIA;7.637;9,47
17;H;RAMON/RAMÓN;7.463;9,25
18;D;ANA MARIA/ANA MARÍA;7.193;8,92
19;H;JOSÉ MARIA/JOSÉ MARÍA;7.119;8,82
20;D;DOLORES;6.713;8,32
21;H;JOAN;6.498;8,05
22;H;PEDRO;6.477;8,03
23;D;ROSA MARIA/ROSA MARÍA;6.249;7,75
24;D;MARIA DEL PILAR/MARÍA DEL PILAR;5.970;7,40
25;H;JORDI;5.889;7,30
26;H;MIGUEL;5.630;6,98
27;D;MARIA ISABEL/MARÍA ISABEL;5.356;6,64
28;D;ROSA;5.285;6,55
29;H;RAFAEL;5.265;6,53
30;D;PILAR;5.263;6,52
31;D;MARIA ROSA/MARÍA ROSA;5.000;6,20
32;D;MERCEDES;4.960;6,15
33;H;JOSÉ LUIS;4.959;6,15
34;D;MARIA ÁNGELES/MARÍA ÁNGELES;4.808;5,96
35;D;TERESA;4.801;5,95
36;H;JOSÉ ANTONIO;4.737;5,87
37;D;CONCEPCIÓN;4.701;5,83
38;D;ANA;4.681;5,80
39;D;NÚRIA/NURIA;4.658;5,77
40;H;JORGE;4.629;5,74
41;H;LUIS;4.536;5,62
42;H;ÀNGEL/ÁNGEL;4.336;5,37
43;D;JUANA;4.303;5,33
44;H;CARLOS;4.280;5,31
45;D;MANUELA;3.939;4,88
46;D;MARIA LUISA/MARÍA LUISA;3.870;4,80
47;D;ROSARIO;3.743;4,64
48;H;JOSEP MARIA;3.619;4,49
49;D;MARGARITA;3.469;4,30
50;H;JAIME;3.468;4,30
